date,symbols,realized_vol,range_stress,down_breadth,below_ma60,drawdown60,sell_pressure,new_low60,new_high60,down_breadth5,new_low_pressure,fear_volatility,fear_range,fear_breadth,fear_trend,fear_drawdown,fear_flow,fear_new_low,fear_core,core_components,qvix_close,fear_qvix,north_net,north_net_available,fear_north,fear_enhanced,fear_change3,fear_peak5,greed_enhanced,regime
2007-01-18,1,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,0,,,,,,,,,,
2007-01-19,1,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,0,,,,,,,,,,
2007-01-22,1,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-01-23,1,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-01-24,1,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-01-25,1,,0.0397919678679003,1.0,0.0,,,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-01-26,1,,0.049243581185312336,0.0,0.0,,,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-01-29,1,,0.04663802801513913,0.0,0.0,,,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-01-30,1,,0.04302930514507649,0.0,0.0,,,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-01-31,1,,0.048886589070028394,1.0,0.0,,,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-01,1,,0.04977870520005205,1.0,0.0,,,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-02,1,,0.045830428071259165,1.0,0.0,,,0.0,0.0,0.6,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-05,1,,0.0454886498425051,1.0,0.0,,,0.0,0.0,0.8,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-06,1,,0.05085881273646857,0.0,0.0,,,0.0,0.0,0.8,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-07,1,,0.04302879962476534,0.0,0.0,,,0.0,0.0,0.6,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-08,1,,0.03945783346996306,0.0,0.0,,,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-09,1,,0.03358600635083907,1.0,0.0,,,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-12,1,,0.0366313769654526,0.0,0.0,,,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-13,1,,0.02981071621394225,0.0,0.0,,,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-14,1,,0.030824927451201835,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-15,1,0.49088440210365997,0.03299387722289128,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-16,1,0.48821393423358433,0.033763971428631016,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-26,1,0.49451645703710706,0.03580970053457758,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-27,1,0.6051642202584586,0.05322529988842416,1.0,0.0,,0.11442387476277602,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-02-28,1,0.6191505959944757,0.06107959516672993,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-01,1,0.6063084289142243,0.06576911651213749,1.0,0.0,,0.023510952862657475,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-02,1,0.6025449967068569,0.06639198043792552,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-05,1,0.5973838078936923,0.06784054135568077,1.0,0.0,,0.01730371369723934,0.0,0.0,0.6,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-06,1,0.5978308988784599,0.053808412952316295,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-07,1,0.5431076345588686,0.04409826657072082,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-08,1,0.5401271022961663,0.03385318966975774,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-09,1,0.5114011034726281,0.03171610053885858,1.0,0.0,,0.00035153519971484404,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-12,1,0.49928036818467336,0.0239829467211491,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-13,1,0.4984505013532086,0.019735068936220672,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-14,1,0.509121691590187,0.020957745996240673,1.0,0.0,,0.021110830205888984,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-15,1,0.5109740237218984,0.023075073113567796,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-16,1,0.5179814843634258,0.02639258764369836,1.0,0.0,,0.021456128710602852,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-19,1,0.5060027741850212,0.03271914805481444,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-20,1,0.5047228553673101,0.03308687767529505,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-21,1,0.49946356140663845,0.029605005572005093,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-22,1,0.48067663575502034,0.029437633897668413,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-23,1,0.4798710647298397,0.027434257977794817,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-26,1,0.45413300469676315,0.02162732898688584,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-27,1,0.2917403116521719,0.020224660038152074,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-28,1,0.2426769879838659,0.025629378417799796,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-29,1,0.21951419442123057,0.026363492586589776,1.0,0.0,,0.006480354683411569,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-03-30,1,0.21982774293911025,0.025374162522158822,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-02,1,0.23215222228734478,0.02819995960500814,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-03,1,0.23231592402579426,0.030373784265911846,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-04,1,0.226813126637383,0.024624435283791817,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-05,1,0.2276525796830067,0.023247366314272145,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-06,1,0.22637506618229541,0.02293734246628385,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-09,1,0.2412143388531817,0.022204985446353045,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-10,1,0.24406258528140068,0.024093557631880307,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-11,1,0.2092781104229684,0.02488925106942019,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-12,1,0.20665095372245634,0.024353088689126178,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-13,1,0.17135237855240568,0.02418374688870284,1.0,0.0,,0.005462731748141584,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-16,1,0.17461038941947912,0.022367599549473347,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-17,1,0.17457093140615323,0.023658098789836563,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0,,,,,,,,,,
2007-04-18,1,0.17559100271023048,0.02397970228802273,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-1.0,,,,,,,,,0,,,,,,,,,,
2007-04-19,1,0.2741258065090034,0.03480840653177468,1.0,0.0,0.04792440094498818,0.06129971970932351,0.0,0.0,0.4,0.0,,,,100.0,,,100.0,,2,,,,,,,,,,
2007-04-20,1,0.29385190532319905,0.03960494908843103,0.0,0.0,0.010799865001687503,0.0,0.0,0.0,0.2,0.0,,,,100.0,,,100.0,,2,,,,,,,,,,
2007-04-23,1,0.3383146678705014,0.04626271549913422,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-1.0,,,66.66666666666666,100.0,,,1.6129032258064515,,3,,,,,,,,,,
2007-04-24,1,0.33915547936822293,0.04547917527960316,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-1.0,,,67.21311475409836,100.0,,,3.1746031746031744,,3,,,,,,,,,,
2007-04-25,1,0.3432258504350757,0.05445831300661863,1.0,0.0,0.002525252525252486,0.003393314927565943,0.0,0.0,0.4,0.0,,,91.93548387096774,100.0,,,100.0,,3,,,,,,,,,,
2007-04-26,1,0.33683268750373846,0.04482782816616012,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-1.0,,73.33333333333333,66.66666666666666,100.0,,,4.615384615384616,61.15384615384615,4,,,,,,61.15384615384615,,61.15384615384615,38.84615384615385,恐惧
2007-04-27,1,0.3403120375469341,0.04125091668451546,1.0,0.0,0.005295950155763229,0.006711490742334668,0.0,0.0,0.4,0.0,,67.21311475409836,92.1875,100.0,,,100.0,89.85015368852459,4,,,,,,89.85015368852459,,89.85015368852459,10.149846311475414,极度恐惧
2007-04-30,1,0.32858235707226174,0.03388210207673358,0.0,0.0,0.0,0.0,0.0,1.0,0.4,-1.0,,56.451612903225815,92.3076923076923,100.0,,,5.970149253731343,63.68236361616236,4,,,,,,63.68236361616236,,89.85015368852459,36.31763638383764,恐惧
2007-05-08,1,0.3517223034908138,0.03695759216684433,0.0,0.0,0.0,0.0,0.0,1.0,0.4,-1.0,,61.904761904761905,92.42424242424242,100.0,,,7.352941176470589,65.42048637636873,4,,,,,,65.42048637636873,4.266640222522575,89.85015368852459,34.57951362363127,恐惧
2007-05-09,1,0.34988121482871665,0.031374160447049,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-1.0,,43.75,64.17910447761194,100.0,,,8.695652173913043,54.15618916288124,4,,,,,,54.15618916288124,-35.693964525643345,89.85015368852459,45.84381083711876,中性
2007-05-10,1,0.3501366199489805,0.03297280091470435,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-1.0,,47.69230769230769,64.70588235294117,100.0,,,10.0,55.59954751131222,4,,,,,,55.59954751131222,-8.082816104850146,89.85015368852459,44.40045248868778,中性
2007-05-11,1,0.3590912164786149,0.03232412137544366,1.0,0.0,0.008653014133256476,0.01571809619310009,0.0,0.0,0.2,0.0,,45.45454545454545,65.21739130434783,100.0,,,100.0,77.66798418972331,4,,,,,,77.66798418972331,12.247497813354585,77.66798418972331,22.332015810276687,恐惧
2007-05-14,1,0.353568512456927,0.03880777264890056,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-1.0,,64.17910447761194,65.71428571428571,100.0,,,11.11111111111111,60.25112532575219,4,,,,,,60.25112532575219,6.094936162870951,77.66798418972331,39.74887467424781,恐惧
2007-05-15,1,0.40153996651513385,0.03855309416602999,1.0,0.0,0.042014388489208576,0.061748087393933,0.0,0.0,0.4,0.0,,63.23529411764706,92.95774647887323,100.0,,,100.0,89.04826014913007,4,,,,,,89.04826014913007,33.448712637817856,89.04826014913007,10.951739850869927,极度恐惧
